id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_banjir,jumlah_puting_beliung,jumlah_tanah_longsor,jumlah_bencana_alam,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,20,39,68,127,KEJADIAN,2017
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,19,43,105,167,KEJADIAN,2017
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,5,2,23,30,KEJADIAN,2017
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,30,9,27,66,KEJADIAN,2017
5,32,JAWA BARAT,3205,KABUPATEN GARUT,4,6,27,37,KEJADIAN,2017
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5,12,38,55,KEJADIAN,2017
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,4,12,29,45,KEJADIAN,2017
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4,10,43,57,KEJADIAN,2017
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,7,5,4,16,KEJADIAN,2017
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,8,8,27,43,KEJADIAN,2017
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8,11,55,74,KEJADIAN,2017
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,3,5,3,11,KEJADIAN,2017
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,6,10,3,19,KEJADIAN,2017
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,0,2,2,KEJADIAN,2017
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,7,13,4,24,KEJADIAN,2017
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,7,4,3,14,KEJADIAN,2017
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3,12,22,37,KEJADIAN,2017
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5,22,16,43,KEJADIAN,2017
19,32,JAWA BARAT,3271,KOTA BOGOR,16,56,131,203,KEJADIAN,2017
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,1,0,1,KEJADIAN,2017
21,32,JAWA BARAT,3273,KOTA BANDUNG,5,8,2,15,KEJADIAN,2017
22,32,JAWA BARAT,3274,KOTA CIREBON,0,3,0,3,KEJADIAN,2017
23,32,JAWA BARAT,3275,KOTA BEKASI,5,2,2,9,KEJADIAN,2017
24,32,JAWA BARAT,3276,KOTA DEPOK,0,0,0,0,KEJADIAN,2017
25,32,JAWA BARAT,3277,KOTA CIMAHI,3,3,8,14,KEJADIAN,2017
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7,27,22,56,KEJADIAN,2017
27,32,JAWA BARAT,3279,KOTA BANJAR,2,9,9,20,KEJADIAN,2017
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,4,25,48,77,KEJADIAN,2018
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3,29,69,101,KEJADIAN,2018
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4,4,21,29,KEJADIAN,2018
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,19,7,16,42,KEJADIAN,2018
32,32,JAWA BARAT,3205,KABUPATEN GARUT,3,6,33,42,KEJADIAN,2018
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5,5,16,26,KEJADIAN,2018
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5,5,25,35,KEJADIAN,2018
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3,14,55,72,KEJADIAN,2018
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,10,10,4,24,KEJADIAN,2018
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5,7,55,67,KEJADIAN,2018
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,5,13,37,55,KEJADIAN,2018
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2,1,1,4,KEJADIAN,2018
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,2,8,9,19,KEJADIAN,2018
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,5,3,8,KEJADIAN,2018
