id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,akses_air_minum,jumlah_akses,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,AIR LEDENG ,204842,KEPALA KELUARGA,2018
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,POMPA,214506,KEPALA KELUARGA,2018
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,SUMUR TERLINDUNGI,436469,KEPALA KELUARGA,2018
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,MATA AIR TERLINDUNGI,8966,KEPALA KELUARGA,2018
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,AIR HUJAN,0,KEPALA KELUARGA,2018
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,TERMINAL AIR ,0,KEPALA KELUARGA,2018
7,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,AIR LEDENG ,78123,KEPALA KELUARGA,2018
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,POMPA,166334,KEPALA KELUARGA,2018
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SUMUR TERLINDUNGI,184471,KEPALA KELUARGA,2018
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MATA AIR TERLINDUNGI,49714,KEPALA KELUARGA,2018
11,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,AIR HUJAN,2722,KEPALA KELUARGA,2018
12,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TERMINAL AIR ,7675,KEPALA KELUARGA,2018
13,32,JAWA BARAT,3203,KABUPATEN CIANJUR,AIR LEDENG ,248045,KEPALA KELUARGA,2018
14,32,JAWA BARAT,3203,KABUPATEN CIANJUR,POMPA,62354,KEPALA KELUARGA,2018
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SUMUR TERLINDUNGI,9235,KEPALA KELUARGA,2018
16,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MATA AIR TERLINDUNGI,39247,KEPALA KELUARGA,2018
17,32,JAWA BARAT,3203,KABUPATEN CIANJUR,AIR HUJAN,6633,KEPALA KELUARGA,2018
18,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TERMINAL AIR ,42573,KEPALA KELUARGA,2018
19,32,JAWA BARAT,3204,KABUPATEN BANDUNG,AIR LEDENG ,129143,KEPALA KELUARGA,2018
20,32,JAWA BARAT,3204,KABUPATEN BANDUNG,POMPA,231906,KEPALA KELUARGA,2018
21,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SUMUR TERLINDUNGI,254725,KEPALA KELUARGA,2018
22,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MATA AIR TERLINDUNGI,52389,KEPALA KELUARGA,2018
23,32,JAWA BARAT,3204,KABUPATEN BANDUNG,AIR HUJAN,6,KEPALA KELUARGA,2018
24,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TERMINAL AIR ,2661,KEPALA KELUARGA,2018
25,32,JAWA BARAT,3205,KABUPATEN GARUT,AIR LEDENG ,140769,KEPALA KELUARGA,2018
26,32,JAWA BARAT,3205,KABUPATEN GARUT,POMPA,71568,KEPALA KELUARGA,2018
27,32,JAWA BARAT,3205,KABUPATEN GARUT,SUMUR TERLINDUNGI,30153,KEPALA KELUARGA,2018
28,32,JAWA BARAT,3205,KABUPATEN GARUT,MATA AIR TERLINDUNGI,46974,KEPALA KELUARGA,2018
29,32,JAWA BARAT,3205,KABUPATEN GARUT,AIR HUJAN,2192,KEPALA KELUARGA,2018
30,32,JAWA BARAT,3205,KABUPATEN GARUT,TERMINAL AIR ,3729,KEPALA KELUARGA,2018
31,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,AIR LEDENG ,21508,KEPALA KELUARGA,2018
32,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,POMPA,215211,KEPALA KELUARGA,2018
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SUMUR TERLINDUNGI,114316,KEPALA KELUARGA,2018
34,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MATA AIR TERLINDUNGI,22265,KEPALA KELUARGA,2018
35,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,AIR HUJAN,28,KEPALA KELUARGA,2018
36,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TERMINAL AIR ,9408,KEPALA KELUARGA,2018
37,32,JAWA BARAT,3207,KABUPATEN CIAMIS,AIR LEDENG ,23674,KEPALA KELUARGA,2018
38,32,JAWA BARAT,3207,KABUPATEN CIAMIS,POMPA,150188,KEPALA KELUARGA,2018
39,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SUMUR TERLINDUNGI,84743,KEPALA KELUARGA,2018
40,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MATA AIR TERLINDUNGI,14479,KEPALA KELUARGA,2018
41,32,JAWA BARAT,3207,KABUPATEN CIAMIS,AIR HUJAN,0,KEPALA KELUARGA,2018
42,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TERMINAL AIR ,0,KEPALA KELUARGA,2018
43,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,AIR LEDENG ,102254,KEPALA KELUARGA,2018
44,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,POMPA,92294,KEPALA KELUARGA,2018
45,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SUMUR TERLINDUNGI,56261,KEPALA KELUARGA,2018
46,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MATA AIR TERLINDUNGI,1658,KEPALA KELUARGA,2018
47,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,AIR HUJAN,0,KEPALA KELUARGA,2018
48,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TERMINAL AIR ,0,KEPALA KELUARGA,2018
49,32,JAWA BARAT,3209,KABUPATEN CIREBON,AIR LEDENG ,85799,KEPALA KELUARGA,2018
50,32,JAWA BARAT,3209,KABUPATEN CIREBON,POMPA,259353,KEPALA KELUARGA,2018
51,32,JAWA BARAT,3209,KABUPATEN CIREBON,SUMUR TERLINDUNGI,128059,KEPALA KELUARGA,2018
52,32,JAWA BARAT,3209,KABUPATEN CIREBON,MATA AIR TERLINDUNGI,3291,KEPALA KELUARGA,2018
53,32,JAWA BARAT,3209,KABUPATEN CIREBON,AIR HUJAN,87,KEPALA KELUARGA,2018
54,32,JAWA BARAT,3209,KABUPATEN CIREBON,TERMINAL AIR ,265,KEPALA KELUARGA,2018
55,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,AIR LEDENG ,62784,KEPALA KELUARGA,2018
56,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,POMPA,124423,KEPALA KELUARGA,2018
57,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SUMUR TERLINDUNGI,37503,KEPALA KELUARGA,2018
58,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MATA AIR TERLINDUNGI,2608,KEPALA KELUARGA,2018
59,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,AIR HUJAN,0,KEPALA KELUARGA,2018
60,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TERMINAL AIR ,5992,KEPALA KELUARGA,2018
61,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,AIR LEDENG ,74102,KEPALA KELUARGA,2018
62,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,POMPA,4256,KEPALA KELUARGA,2018
63,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SUMUR TERLINDUNGI,94262,KEPALA KELUARGA,2018
64,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MATA AIR TERLINDUNGI,22168,KEPALA KELUARGA,2018
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,AIR HUJAN,375,KEPALA KELUARGA,2018
66,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TERMINAL AIR ,8243,KEPALA KELUARGA,2018
67,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,AIR LEDENG ,122379,KEPALA KELUARGA,2018
68,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,POMPA,158623,KEPALA KELUARGA,2018
69,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SUMUR TERLINDUNGI,12745,KEPALA KELUARGA,2018
70,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MATA AIR TERLINDUNGI,194,KEPALA KELUARGA,2018
71,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,AIR HUJAN,1014,KEPALA KELUARGA,2018
72,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TERMINAL AIR ,713,KEPALA KELUARGA,2018
73,32,JAWA BARAT,3213,KABUPATEN SUBANG,AIR LEDENG ,55137,KEPALA KELUARGA,2018
74,32,JAWA BARAT,3213,KABUPATEN SUBANG,POMPA,163009,KEPALA KELUARGA,2018
75,32,JAWA BARAT,3213,KABUPATEN SUBANG,SUMUR TERLINDUNGI,126859,KEPALA KELUARGA,2018
76,32,JAWA BARAT,3213,KABUPATEN SUBANG,MATA AIR TERLINDUNGI,9599,KEPALA KELUARGA,2018
77,32,JAWA BARAT,3213,KABUPATEN SUBANG,AIR HUJAN,0,KEPALA KELUARGA,2018
78,32,JAWA BARAT,3213,KABUPATEN SUBANG,TERMINAL AIR ,0,KEPALA KELUARGA,2018
79,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,AIR LEDENG ,34586,KEPALA KELUARGA,2018
80,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,POMPA,91368,KEPALA KELUARGA,2018
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SUMUR TERLINDUNGI,60923,KEPALA KELUARGA,2018
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MATA AIR TERLINDUNGI,17943,KEPALA KELUARGA,2018
83,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,AIR HUJAN,26,KEPALA KELUARGA,2018
84,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TERMINAL AIR ,2343,KEPALA KELUARGA,2018
