"Centroid","Nama Kabupaten/Kota","Tahun","Member of the cluster","Jumlah Banjir","Jumlah Puting Beliung","Jumlah Tanah Longsor"
"0","KABUPATEN KUNINGAN","2013","[ 15  11 119]","15","11","119"
"0","KABUPATEN SUKABUMI","2017","[ 19  43 105]","19","43","105"
"0","KOTA BOGOR","2017","[ 16  56 131]","16","56","131"
"0","KOTA BOGOR","2018","[ 12  58 101]","12","58","101"
"0","KABUPATEN BOGOR","2019","[ 10 106  68]","10","106","68"
"0","KABUPATEN SUKABUMI","2019","[ 10  35 100]","10","35","100"
"0","KOTA BOGOR","2019","[ 11  70 112]","11","70","112"
"0","KABUPATEN BOGOR","2020","[ 43 183 133]","43","183","133"
"0","KABUPATEN SUKABUMI","2020","[ 13  24 128]","13","24","128"
"0","KABUPATEN CIAMIS","2020","[12 54 77]","12","54","77"
"1","KABUPATEN SUKABUMI","2012","[20 27 48]","20","27","48"
"1","KABUPATEN GARUT","2012","[ 7 28 36]","7","28","36"
"1","KABUPATEN BOGOR","2013","[19 13 48]","19","13","48"
"1","KABUPATEN SUKABUMI","2013","[17 20 34]","17","20","34"
"1","KABUPATEN GARUT","2013","[11 15 64]","11","15","64"
"1","KABUPATEN TASIKMALAYA","2013","[12 27 61]","12","27","61"
"1","KABUPATEN CIAMIS","2013","[29 17 37]","29","17","37"
"1","KABUPATEN BANDUNG BARAT","2013","[ 2 20 35]","2","20","35"
"1","KABUPATEN CIAMIS","2014","[12 28 44]","12","28","44"
"1","KABUPATEN KUNINGAN","2014","[10  9 46]","10","9","46"
"1","KABUPATEN SUKABUMI","2015","[ 6 16 42]","6","16","42"
"1","KABUPATEN BOGOR","2016","[18 32 47]","18","32","47"
"1","KABUPATEN SUKABUMI","2016","[19 16 53]","19","16","53"
"1","KABUPATEN TASIKMALAYA","2016","[ 8 10 61]","8","10","61"
"1","KABUPATEN KUNINGAN","2016","[ 2 12 73]","2","12","73"
"1","KABUPATEN BOGOR","2017","[20 39 68]","20","39","68"
"1","KABUPATEN TASIKMALAYA","2017","[ 5 12 38]","5","12","38"
"1","KABUPATEN KUNINGAN","2017","[ 4 10 43]","4","10","43"
"1","KABUPATEN SUMEDANG","2017","[ 8 11 55]","8","11","55"
"1","KABUPATEN BOGOR","2018","[ 4 25 48]","4","25","48"
"1","KABUPATEN SUKABUMI","2018","[ 3 29 69]","3","29","69"
"1","KABUPATEN KUNINGAN","2018","[ 3 14 55]","3","14","55"
"1","KABUPATEN MAJALENGKA","2018","[ 5  7 55]","5","7","55"
"1","KABUPATEN SUMEDANG","2018","[ 5 13 37]","5","13","37"
"1","KABUPATEN GARUT","2019","[21 19 39]","21","19","39"
"1","KABUPATEN CIAMIS","2019","[ 5 29 32]","5","29","32"
"1","KABUPATEN KUNINGAN","2019","[ 8 20 34]","8","20","34"
"1","KABUPATEN MAJALENGKA","2019","[ 2 14 37]","2","14","37"
"1","KABUPATEN SUMEDANG","2019","[16 12 50]","16","12","50"
"1","KABUPATEN GARUT","2020","[15 11 72]","15","11","72"
"1","KABUPATEN KUNINGAN","2020","[ 4  5 51]","4","5","51"
"1","KABUPATEN MAJALENGKA","2020","[13  9 53]","13","9","53"
"1","KABUPATEN SUMEDANG","2020","[21  9 82]","21","9","82"
"1","KOTA BOGOR","2020","[10 30 73]","10","30","73"
"2","KABUPATEN CIANJUR","2012","[ 1 23  9]","1","23","9"
"2","KABUPATEN BANDUNG","2012","[17  3 12]","17","3","12"
"2","KABUPATEN KUNINGAN","2012","[ 6  2 17]","6","2","17"
"2","KOTA SUKABUMI","2012","[10 35 27]","10","35","27"
"2","KABUPATEN CIANJUR","2013","[21  9 17]","21","9","17"
"2","KABUPATEN BANDUNG","2013","[46  5 11]","46","5","11"
"2","KABUPATEN SUBANG","2013","[39  7  0]","39","7","0"
"2","KABUPATEN KARAWANG","2013","[71  2  1]","71","2","1"
"2","KABUPATEN BEKASI","2013","[34  5  1]","34","5","1"
"2","KOTA BEKASI","2013","[35  1  0]","35","1","0"
"2","KABUPATEN BOGOR","2014","[ 8 16 19]","8","16","19"
"2","KABUPATEN SUKABUMI","2014","[ 5  8 25]","5","8","25"
"2","KABUPATEN BANDUNG","2014","[17  9 15]","17","9","15"
"2","KABUPATEN GARUT","2014","[ 9 13 27]","9","13","27"
"2","KABUPATEN TASIKMALAYA","2014","[ 6  9 32]","6","9","32"
"2","KABUPATEN BOGOR","2015","[ 5 10 16]","5","10","16"
"2","KABUPATEN BANDUNG","2015","[11 11 19]","11","11","19"
"2","KABUPATEN GARUT","2015","[ 5  3 15]","5","3","15"
"2","KABUPATEN KUNINGAN","2015","[ 3  3 21]","3","3","21"
"2","KABUPATEN BANDUNG","2016","[45  7 31]","45","7","31"
"2","KABUPATEN GARUT","2016","[11  1 21]","11","1","21"
"2","KABUPATEN CIAMIS","2016","[ 5 18 24]","5","18","24"
"2","KABUPATEN MAJALENGKA","2016","[ 6  5 25]","6","5","25"
"2","KABUPATEN SUMEDANG","2016","[13  2 28]","13","2","28"
"2","KABUPATEN BANDUNG BARAT","2016","[ 3  1 22]","3","1","22"
"2","KABUPATEN PANGANDARAN","2016","[ 6 24 11]","6","24","11"
"2","KOTA BOGOR","2016","[ 2  6 18]","2","6","18"
"2","KOTA CIMAHI","2016","[ 9  6 11]","9","6","11"
"2","KOTA TASIKMALAYA","2016","[ 6 13 14]","6","13","14"
"2","KABUPATEN CIANJUR","2017","[ 5  2 23]","5","2","23"
"2","KABUPATEN BANDUNG","2017","[30  9 27]","30","9","27"
"2","KABUPATEN GARUT","2017","[ 4  6 27]","4","6","27"
"2","KABUPATEN CIAMIS","2017","[ 4 12 29]","4","12","29"
"2","KABUPATEN MAJALENGKA","2017","[ 8  8 27]","8","8","27"
