"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"1","0.000000","1.4.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"3","0.640009","1.4.1","host","USB","72","02000f0000000000","URB_INTERRUPT in"
"5","0.768089","1.4.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"7","1.120102","1.4.1","host","USB","72","0200040000000000","URB_INTERRUPT in"
"9","1.250862","1.4.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"13","2.504264","1.4.1","host","USB","72","00001f0000000000","URB_INTERRUPT in"
"17","2.824294","1.4.1","host","USB","72","0000270000000000","URB_INTERRUPT in"
"21","3.304357","1.4.1","host","USB","72","00001f0000000000","URB_INTERRUPT in"
"25","3.496404","1.4.1","host","USB","72","00001f0000000000","URB_INTERRUPT in"
"29","4.360452","1.4.1","host","USB","72","2000000000000000","URB_INTERRUPT in"
"31","4.680426","1.4.1","host","USB","72","20002f0000000000","URB_INTERRUPT in"
"33","4.818289","1.4.1","host","USB","72","2000000000000000","URB_INTERRUPT in"
"37","163.286270","1.4.1","host","USB","72","0000050000000000","URB_INTERRUPT in"
"41","163.670253","1.4.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"43","163.815662","1.4.1","host","USB","72","0000081a00000000","URB_INTERRUPT in"
"45","163.864679","1.4.1","host","USB","72","00001a0000000000","URB_INTERRUPT in"
"47","163.958216","1.4.1","host","USB","72","00001a0400000000","URB_INTERRUPT in"
"49","164.022248","1.4.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"53","164.214246","1.4.1","host","USB","72","0000150000000000","URB_INTERRUPT in"
"55","164.342238","1.4.1","host","USB","72","0000150800000000","URB_INTERRUPT in"
"57","164.486265","1.4.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"61","165.310241","1.4.1","host","USB","72","2000000000000000","URB_INTERRUPT in"
"63","165.470246","1.4.1","host","USB","72","20002d0000000000","URB_INTERRUPT in"
"67","165.854251","1.4.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"71","166.046185","1.4.1","host","USB","72","0000090000000000","URB_INTERRUPT in"
"75","166.718194","1.4.1","host","USB","72","2000000000000000","URB_INTERRUPT in"
"77","167.006224","1.4.1","host","USB","72","20002d0000000000","URB_INTERRUPT in"
"79","167.134222","1.4.1","host","USB","72","2000000000000000","URB_INTERRUPT in"
"83","167.774223","1.4.1","host","USB","72","00000e0000000000","URB_INTERRUPT in"
"87","167.958230","1.4.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"91","168.094227","1.4.1","host","USB","72","00001c0000000000","URB_INTERRUPT in"
"95","168.318450","1.4.1","host","USB","72","00000f0000000000","URB_INTERRUPT in"
"99","168.518296","1.4.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"103","168.966229","1.4.1","host","USB","72","00000a0000000000","URB_INTERRUPT in"
"107","169.126235","1.4.1","host","USB","72","00000a0000000000","URB_INTERRUPT in"
"111","169.222246","1.4.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"113","169.286263","1.4.1","host","USB","72","0000081500000000","URB_INTERRUPT in"
"115","169.414300","1.4.1","host","USB","72","0000150000000000","URB_INTERRUPT in"
"119","170.246274","1.4.1","host","USB","72","2000000000000000","URB_INTERRUPT in"
"121","170.438326","1.4.1","host","USB","72","2000300000000000","URB_INTERRUPT in"
"123","170.566338","1.4.1","host","USB","72","0000300000000000","URB_INTERRUPT in"
